segmentid,node,w,kappa,predicted
1098,42983661,1.0,1,1
1174,7397627216,1.0,1,0
1174,7842089317,1.0,1,0
20446,5488627070,2.0,1,1
16116,42981431,1.0,1,1
54380,42865639,2.0,1,1
62130,5490674809,4.0,1,0
76536,42881044,11.0,1,1
91035,3556671372,5.0,1,0
71807,42740197,6.0,1,1
159387,447829828,2.0,1,0
165168,5481915279,8.0,1,0
164570,9423683546,2.0,1,1
168304,9289203776,7.0,1,1
173121,589928003,10.0,1,1
129697,6406731487,66.0,1,1
195564,42458185,9.0,1,0
170207,42934299,11.0,1,1
177665,7778750182,5.0,1,0
172636,10774439632,104.0,1,1
189894,7850676279,5.0,1,0
289024,12079176844,1.0,1,0
289024,7778750138,2.0,1,0
275632,5448974200,1.0,1,0
280727,7778750182,5.0,1,0
280726,7778750182,5.0,1,0
9001565,11998243305,42.0,1,1
9001567,11998243305,42.0,1,1
9001569,11998243305,42.0,1,0
9001570,11998243305,42.0,1,0
9001566,11998243305,42.0,1,1
51086,42827908,1.0,1,0
51086,8880683363,3.0,1,1
