city,frac,n_access,w1,w2
Amsterdam,0.5,15,0.125,0.875
Amsterdam,1.0,30,0.125,0.875
Amsterdam,2.0,60,0.123,0.877
Amsterdam,5.0,150,0.119,0.881
Amsterdam,10.0,300,0.124,0.876
Barcelona,0.5,36,0.111,0.889
Barcelona,1.0,71,0.111,0.889
Barcelona,2.0,142,0.111,0.889
Barcelona,5.0,355,0.066,0.934
Barcelona,10.0,710,0.057,0.943
Paris,0.5,156,0.119,0.874
Paris,1.0,311,0.103,0.89
Paris,2.0,622,0.083,0.91
Paris,5.0,1555,0.07,0.922
Paris,10.0,3110,0.044,0.956
Seattle,0.5,38,0.06,0.94
Seattle,1.0,75,0.06,0.94
Seattle,2.0,150,0.06,0.94
Seattle,5.0,375,0.06,0.94
Seattle,10.0,750,0.041,0.959
New York City,0.5,154,0.044,0.955
New York City,1.0,309,0.044,0.955
New York City,2.0,618,0.04,0.959
New York City,5.0,1545,0.041,0.959
New York City,10.0,3090,0.028,0.972
