orientation,cls,n,w,med_income_wmed,share65_wmean
k1_AD,kappa=1,478,26.649851632047465,101785.0,0.1576057624896862
k1_AD,kappa>=2,1391,95.74480712166167,102256.0,0.15794286923715914
k1_AD,mannwhitney_p,1869,,0.22710371732185364,0.15010637472097457
k1_DA,kappa=1,472,26.293768545994052,103603.0,0.15996865062493693
k1_DA,kappa>=2,1397,96.10089020771508,101622.0,0.15726774858978448
k1_DA,mannwhitney_p,1869,,0.18960902331773355,0.40011854230323496
k3_AD,kappa=1,113,4.792284866468839,112949.0,0.1597262061150599
k3_AD,kappa>=2,1756,117.6023738872403,101431.0,0.15771480037982585
k3_AD,mannwhitney_p,1869,,0.013360913669822628,0.8799458554426275
k3_DA,kappa=1,113,5.415430267062312,113556.0,0.15477585017384568
k3_DA,kappa>=2,1756,116.97922848664683,101431.0,0.1579681415037847
k3_DA,mannwhitney_p,1869,,0.002303923231753941,0.939362475147154
AD,kappa=1,113,4.792284866468839,112949.0,0.1597262061150599
AD,kappa>=2,1756,117.6023738872403,101431.0,0.15771480037982585
AD,mannwhitney_p,1869,,0.013360913669822628,0.8799458554426275
DA,kappa=1,113,5.415430267062312,113556.0,0.15477585017384568
DA,kappa>=2,1756,116.97922848664683,101431.0,0.1579681415037847
DA,mannwhitney_p,1869,,0.002303923231753941,0.939362475147154
boro,Bronx,206,17.0,8.3,
boro,Brooklyn,467,24.0,5.1,
boro,Manhattan,224,15.0,6.7,
boro,Queens,616,34.0,5.5,
boro,StatenIsland,231,20.0,8.7,
meta,join_coverage,3488,3738.0,2192.0,2324.0
