city,k,n,w0,w1,w2,w1_ci
Amsterdam,1,409,0.022,0.398,0.579,"[0.286,0.507]"
Amsterdam,3,409,0.0,0.126,0.874,"[0.061,0.221]"
Barcelona,1,305,0.009,0.446,0.545,"[0.347,0.537]"
Barcelona,3,305,0.0,0.111,0.889,"[0.042,0.194]"
Paris,1,386,0.013,0.399,0.588,"[0.326,0.468]"
Paris,3,386,0.007,0.107,0.886,"[0.071,0.15]"
Seattle,1,472,0.009,0.336,0.655,"[0.257,0.419]"
Seattle,3,472,0.0,0.06,0.94,"[0.026,0.105]"
New York City,1,1869,0.001,0.215,0.784,"[0.181,0.252]"
New York City,3,1869,0.001,0.047,0.953,"[0.031,0.064]"
POOLED,1,3441,0.008,0.315,0.677,"[0.285,0.346]"
POOLED,3,3441,0.002,0.076,0.922,"[0.059,0.094]"
