city,orientation,k,n,w1_poi,w1_pop,w1_pop_ci
Amsterdam,AD,1,409,0.366,0.405,"[0.352,0.456]"
Amsterdam,AD,3,409,0.121,0.163,"[0.127,0.201]"
Amsterdam,DA,1,409,0.396,0.437,"[0.381,0.489]"
Amsterdam,DA,3,409,0.125,0.147,"[0.115,0.182]"
Barcelona,AD,1,305,0.322,0.379,"[0.324,0.434]"
Barcelona,AD,3,305,0.116,0.135,"[0.097,0.176]"
Barcelona,DA,1,305,0.429,0.45,"[0.39,0.506]"
Barcelona,DA,3,305,0.111,0.132,"[0.096,0.172]"
Paris,AD,1,386,0.349,0.391,"[0.339,0.446]"
Paris,AD,3,386,0.119,0.147,"[0.109,0.187]"
Paris,DA,1,386,0.399,0.444,"[0.387,0.498]"
Paris,DA,3,386,0.103,0.12,"[0.086,0.158]"
Seattle,AD,1,472,0.306,0.314,"[0.265,0.368]"
Seattle,AD,3,472,0.069,0.065,"[0.038,0.096]"
Seattle,DA,1,472,0.336,0.313,"[0.264,0.363]"
Seattle,DA,3,472,0.06,0.06,"[0.034,0.089]"
New York City,AD,1,1869,0.218,0.218,"[0.195,0.241]"
New York City,AD,3,1869,0.039,0.037,"[0.026,0.048]"
New York City,DA,1,1869,0.215,0.211,"[0.187,0.235]"
New York City,DA,3,1869,0.044,0.04,"[0.029,0.052]"
POOLED,AD,1,3441,0.284,0.327,"[0.307,0.347]"
POOLED,AD,3,3441,0.077,0.104,"[0.09,0.117]"
POOLED,DA,1,3441,0.313,0.353,"[0.331,0.376]"
POOLED,DA,3,3441,0.074,0.096,"[0.082,0.109]"
