city,k_label,n,n_entry_med,w0,w1,w2,w1_ci
Amsterdam,1,409,1.0,0.022,0.396,0.582,"[0.284,0.505]"
Amsterdam,2,409,2.0,0.015,0.216,0.769,"[0.118,0.322]"
Amsterdam,3,409,3.0,0.0,0.125,0.875,"[0.061,0.221]"
Amsterdam,4,409,4.0,0.0,0.056,0.944,"[0.032,0.088]"
Amsterdam,5,409,5.0,0.0,0.048,0.952,"[0.026,0.079]"
Amsterdam,r250,409,33.0,0.0,0.017,0.983,"[0.008,0.028]"
Barcelona,1,305,1.0,0.009,0.429,0.562,"[0.331,0.522]"
Barcelona,2,305,2.0,0.0,0.243,0.757,"[0.157,0.339]"
Barcelona,3,305,3.0,0.0,0.111,0.889,"[0.042,0.194]"
Barcelona,4,305,4.0,0.0,0.049,0.951,"[0.013,0.109]"
Barcelona,5,305,5.0,0.0,0.017,0.983,"[0.006,0.032]"
Barcelona,r250,305,26.0,0.0,0.004,0.996,"[0.001,0.01]"
Paris,1,386,1.0,0.013,0.399,0.588,"[0.326,0.468]"
Paris,2,386,2.0,0.007,0.197,0.796,"[0.144,0.257]"
Paris,3,386,3.0,0.007,0.103,0.89,"[0.066,0.147]"
Paris,4,386,4.0,0.0,0.078,0.922,"[0.044,0.12]"
Paris,5,386,5.0,0.0,0.065,0.935,"[0.035,0.105]"
Paris,r250,386,28.0,0.0,0.0,1.0,"[0.0,0.0]"
Seattle,1,472,1.0,0.009,0.336,0.655,"[0.257,0.419]"
Seattle,2,472,2.0,0.0,0.104,0.896,"[0.052,0.167]"
Seattle,3,472,3.0,0.0,0.06,0.94,"[0.026,0.105]"
Seattle,4,472,4.0,0.0,0.026,0.974,"[0.01,0.049]"
Seattle,5,472,5.0,0.0,0.013,0.987,"[0.006,0.023]"
Seattle,r250,472,53.0,0.0,0.001,0.999,"[0.0,0.002]"
New York City,1,1869,1.0,0.001,0.215,0.784,"[0.181,0.252]"
New York City,2,1869,2.0,0.001,0.1,0.899,"[0.076,0.126]"
New York City,3,1869,3.0,0.001,0.044,0.955,"[0.029,0.061]"
New York City,4,1869,4.0,0.001,0.03,0.969,"[0.017,0.045]"
New York City,5,1869,5.0,0.001,0.009,0.99,"[0.005,0.015]"
New York City,r250,1869,24.0,0.0,0.001,0.999,"[0.0,0.002]"
POOLED,1,3441,,0.008,0.313,0.679,"[0.282,0.343]"
POOLED,2,3441,,0.003,0.149,0.848,"[0.125,0.173]"
POOLED,3,3441,,0.002,0.074,0.924,"[0.057,0.092]"
POOLED,4,3441,,0.0,0.044,0.955,"[0.032,0.058]"
POOLED,5,3441,,0.0,0.026,0.973,"[0.019,0.036]"
POOLED,r250,3441,,0.0,0.003,0.997,"[0.002,0.004]"
